seogii@seogii-Samsung-DeskTop-System:~/source_git/CSAPI_SAMPLE/Tizen-CSharp-Samples/Mobile/Accounts$ ./check_style.sh SampleAccount
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:41: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:42: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:45: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:46: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:47: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:48: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:49: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:64: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:65: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:66: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:67: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:68: WARNING: [LNE_R_TWS]trailing whitespace
total: 0 errors, 33 warnings, 78 lines checked
SampleAccount/SampleAccount/SampleAccount.xaml.cs:1: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:2: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:3: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:4: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:5: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:6: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:7: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:8: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:9: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:10: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:11: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:12: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:13: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:14: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:27: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:28: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:29: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:32: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:33: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:34: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:39: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:43: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:44: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/SampleAccount.xaml.cs:45: WARNING: [LNE_R_TWS]trailing whitespace
